baseadas-em-experiencias-de-demissao
Charles Chaplin,Everton Luís Sanches,Artes e Fotografia,R$,"40,90","R$ 20,45",
"",,,,,,interseccoes-com-seu-tempo
TUBINHO,Mario Fernando Bolognesi,Artes e Fotografia,R$,"45,90","R$ 22,95",https://www.pacolivros.com.br/tubinho-o-teatro-no-circo-2001-2016
Múltiplos Olhares Sobre Processos Descoloniais nas,,,,,,https://www.pacolivros.com.br/multiplos-olhares-sobre-processos-
"",Ana Carolina Mundim,Artes e Fotografia,R$,"44,90","R$ 22,45",
Artes Cênicas,,,,,,descoloniais-nas-artes-cenicas
"",,,,,,https://www.pacolivros.com.br/teatro-de-grupo-trajetoria-e-pratica-
Teatro de Grupo,Elderson Melo De Melo,Artes e Fotografia,R$,"28,90","R$ 14,45",
"",,,,,,do-teatro-acriano-1970-2010
"",,,,,,https://www.pacolivros.com.br/especializacao-em-educacao-musical-
Especialização em Educação Musical,Cássia Virgínia Coelho De Souza,Artes e Fotografia,R$,"47,90","R$ 23,95",
"",,,,,,reflexoes-e-pesquisas
"",Vanja Poty Sandes Gomes,,,,,
A Cena e o Sonho,,Artes e Fotografia,R$,"41,90","R$ 20,95",https://www.pacolivros.com.br/A_Cena_e_o_Sonho/prod-3756337/
"",Menezes,,,,,
