"TítuloAutorPreço                  de capaPreço com desconto 50%",,,
O PIANISTA VIRTUOSO,Hanon e Henry Lemoine,"R$ 57,00","R$ 28,50"
O PIANO E A CRIANÇA,Heitor Villa-Lobos,"R$ 72,00","R$ 36,00"
O PIANO E AS BACHIANAS,Heitor Villa-Lobos,"R$ 61,00","R$ 30,50"
O PRIMEIRO MESTRE DE PIANO - OP. 599,Carl Czerny,"R$ 37,00","R$ 18,50"
O TESOURO DO PEQUENO PIANISTA,Mário Mascarenhas,"R$ 75,00","R$ 37,50"
O VIOLÃO DE 7 CORDAS ( TEORIA e PRÁTICA ),Luiz Otávio Braga,"R$ 85,00","R$ 42,50"
O VIOLÃO ENTROU NA RODA,Max Riccio,"R$ 63,00","R$ 31,50"
O VIOLÃO MÁGICO,Vito Nicola Paradiso,"R$ 72,00","R$ 36,00"
ORQUESTRA DE FLAUTA DOCE,Cristal A. Velloso,"R$ 39,00","R$ 19,50"
OSVALDO LACERDA PARA PIANO - BRASILIANAS 1 A 9,Osvaldo Lacerda,"R$ 101,00","R$ 50,50"
OSVALDO LACERDA PARA PIANO - CROMOS E OUTRAS PEÇAS,Osvaldo Lacerda,"R$ 72,00","R$ 36,00"
PAUTANDO AS SETE,,"R$ 24,00","R$ 12,00"
PEDAGOGIA DO VIOLÃO - FORMATO GRANDE,.,"R$ 26,00","R$ 13,00"
PEDAGOGIA DO VIOLÃO - FORMATO PEQUENO,,"R$ 24,00","R$ 12,00"
PEQUENO MOSAICO DO DIREITO AUTORAL,João Carlos de Camargo Eboli,"R$ 55,00","R$ 27,50"
PIANO E TECLADO,Antonio Adolfo,"R$ 85,00","R$ 42,50"
PIANO E TECLADO FÁCIL,Antonio Adolfo,"R$ 63,00","R$ 31,50"
POLÍTICA E RELIGIÕES NO CARNAVAL,Haroldo Costa,"R$ 81,00","R$ 40,50"
PRIMEIRO CADERNO DE FLAUTA BLOCK,Maria Aparecida Mahle,"R$ 39,00","R$ 19,50"
PRIMEIROS ACORDES AO VIOLÃO,Othon G. da Rocha Filho,"R$ 67,00","R$ 33,50"
PRINCÍPIOS BÁSICOS DA MÚSICA PARA A JUVENTUDE - 1o VOLUME,Maria Luisa de Mattos Priolli,"R$ 45,00","R$ 22,50"
PRINCÍPIOS BÁSICOS DA MÚSICA PARA A JUVENTUDE - 2o VOLUME,Maria Luisa de Mattos Priolli,"R$ 45,00","R$ 22,50"
SAMBAS PARA MANGUEIRA,Centro Cultural Cartola,"R$ 85,00","R$ 42,50"
SAXOFONE FÁCIL,Marco Túlio,"R$ 61,00","R$ 30,50"
SEGREDO DO BRAÇO DO VIOLÃO,Fernando Azevedo,"R$ 48,00","R$ 24,00"
SIDNEY MAGAL,Bruna Ramos da Fonte,"R$ 62,00","R$ 31,00"
SILVIO CESAR - MÚSICA E LETRA,Silvio Cesar,"R$ 52,00","R$ 26,00"
SOLFEJO CURSO ELEMENTAR,Edgar Willems,"R$ 61,00","R$ 30,50"
SOLFEJOS - OP. 27,Alexis de Garaudé,"R$ 39,00","R$ 19,50"
SONGBOOK ANTONIO ADOLFO & TIBÉRIO GASPAR,Almir Chediak,"R$ 96,00","R$ 48,00"
SONGBOOK ARY BARROSO,Almir Chediak,"R$ 96,00","R$ 48,00"
SONGBOOK AS 101 MELHORES CANÇÕES DO SÉCULO XX - VOL. 1,Almir Chediak,"R$ 101,00","R$ 50,50"
SONGBOOK AS 101 MELHORES CANÇÕES DO SÉCULO XX - VOL. 2,Almir Chediak,"R$ 101,00","R$ 50,50"
SONGBOOK BOSSA NOVA - VOL. 1,Almir Chediak,"R$ 96,00","R$ 48,00"
SONGBOOK BOSSA NOVA - VOL. 2,Almir Chediak,"R$ 96,00","R$ 48,00"
SONGBOOK BOSSA NOVA - VOL. 3,Almir Chediak,"R$ 96,00","R$ 48,00"
SONGBOOK BOSSA NOVA - VOL. 4,Almir Chediak,"R$ 96,00","R$ 48,00"
SONGBOOK BOSSA NOVA - VOL. 5,Almir Chediak,"R$ 96,00","R$ 48,00"
SONGBOOK CAETANO VELOSO - VOL. 1,Almir Chediak,"R$ 85,00","R$ 42,50"
SONGBOOK CAETANO VELOSO - VOL. 2,Almir Chediak,"R$ 85,00","R$ 42,50"
SONGBOOK CARLOS LYRA,Almir Chediak,"R$ 85,00","R$ 42,50"
SONGBOOK CAZUZA - VOL. 1,Almir Chediak,"R$ 75,00","R$ 37,50"
SONGBOOK CAZUZA - VOL. 2,Almir Chediak,"R$ 75,00","R$ 37,50"
SONGBOOK CHICO BUARQUE - VOL. 1,Almir Chediak,"R$ 110,00","R$ 55,00"
SONGBOOK CHICO BUARQUE - VOL. 2,Almir Chediak,"R$ 110,00","R$ 55,00"
