EDITORA BRASILIENSE,,,,,
ISBN,COD BARRAS,DESCRIÇÃO,AUTOR,PREÇO 2021,PREÇO USP
9788511010060,9788511010060,O QUE E LIBERDADE,CAIO DA SILVA PRADO JUNIOR,"39,90","19,95"
9788511001259,9788511001259,O QUE E LINGUISTICA - 2 ED,ENI DE LOURDES PULCINELLI ORLANDI,"39,90","19,95"
9788511001631,9788511001631,O QUE E LITERATURA INFANTIL 2. ED,LIGIA CADEMARTORI,"39,90","19,95"
9788511011487,9788511011487,O QUE E MARXISMO,JOSE PAULO NETTO,"39,90","19,95"
9788511001143,9788511001143,O QUE E MEDIACAO DE CONFLITOS,LIA REGINA,"39,90","19,95"
9788511012811,9788511012811,O QUE E MEIO AMBIENTE,KURT KLOETZEL,"39,90","19,95"
9788511011524,9788511011524,O QUE E MENOR,EDSON PASSETTI,"39,90","19,95"
9788511010381,9788511010381,O QUE E METODO PAULO FREIRE,CARLOS RODRIGUES BRANDAO,"39,90","19,95"
EDITORA BRASILIENSE,,,,,
ISBN,COD BARRAS,DESCRIÇÃO,AUTOR,PREÇO 2021,PREÇO USP
9788511011517,9788511011517,O QUE E MITO,EVERARDO ROCHA,"39,90","19,95"
9788511011869,9788511011869,O QUE E MUSICA SERTANEJA,WALDENYR CALDAS,"39,90","19,95"
9788511012439,9788511012439,O QUE E NATUREZA,MARCOS DE CARVALHO,"39,90","19,95"
9788511012415,9788511012415,O QUE E NEUROSE,MARIA LUIZA SILVEIRA TELES,"39,90","19,95"
9788511011197,9788511011197,O QUE E NORDESTE BRASILEIRO,CARLOS JOSE GARCIA DA SILVA,"39,90","19,95"
9788511001020,9788511001020,O QUE E OLIMPISMO,MANOEL JOSE GOMES TUBINO,"39,90","19,95"
9788511012330,9788511012330,O QUE E PANTANAL,ALBANA XAVIER NOGUEIRA,"39,90","19,95"
9788511010954,9788511010954,O QUE E PARTICIPACAO,JUAN ENRIQUE DIAZ BORDENAVE,"39,90","19,95"
9788511011043,9788511011043,O QUE E PARTICIPACAO POLITICA,DALMO DE ABREU DALLARI,"39,90","19,95"
9788511001495,9788511001495,O QUE E PATRIMONIO CULTURAL IMATERIAL,SANDRA PELEGRINI,"39,90","19,95"
9788511000467,9788511000467,O QUE E PATRIMONIO HISTORICO 2. ED,CARLOS ALBERTO CERQUEIRA LEMOS,"39,90","19,95"
9788511011937,9788511011937,O QUE E PEDAGOGIA -  ED. ATUAL,PAULO GHIRALDELLI JUNIOR,"39,90","19,95"
9788511010244,9788511010244,O QUE E PODER,GERARD LEBRUN,"39,90","19,95"
9788511010541,9788511010541,O QUE E POLITICA,WOLFGANG LEO MAAR,"39,90","19,95"
9788511011685,9788511011685,O QUE E POLITICA SOCIAL,VICENTE DE PAULA FALEIROS,"39,90","19,95"
9788511012675,9788511012675,O QUE E POLUICAO QUIMICA,JOEL ARNALDO PONTIN / SERGIO MASSARO,"39,90","19,95"
9788511011654,9788511011654,O QUE E POS-MODERNO,JAIR FERREIRA DOS SANTOS,"39,90","19,95"
9788511012224,9788511012224,O QUE E PSICOLOGIA,MARIA LUIZA SILVEIRA TELES,"39,90","19,95"
9788511010398,9788511010398,O QUE E PSICOLOGIA SOCIAL,SILVIA TATIANA MAURER LANE,"39,90","19,95"
9788511010077,9788511010077,O QUE E RACISMO,JOEL RUFINO DOS SANTOS,"39,90","19,95"
9788511010251,9788511010251,O QUE E REVOLUCAO,FLORESTAN FERNANDES,"39,90","19,95"
9788511011036,9788511011036,O QUE E SEMIOTICA,MARIA LUCIA SANTAELLA BRAGA,"39,90","19,95"
9788511011111,9788511011111,O QUE E SERVICO SOCIAL,ANA MARIA RAMOS ESTEVAO,"39,90","19,95"
9788511010572,9788511010572,O QUE E SOCIOLOGIA,CARLOS BENEDITO MARTINS,"39,90","19,95"
9788511010145,9788511010145,O QUE E SUBDESENVOLVIMENTO,HORACIO LUIZ GONZALES,"39,90","19,95"
9788511012637,9788511012637,O QUE E TARO,PAULO HUMBERTO URBAN PIMENTEL,"39,90","19,95"
9788511011128,9788511011128,O QUE E TAYLORISMO,LUZIA MARGARETH RAGO / EDUARDO MOREI,"A39,90","19,95"
EDITORA BRASILIENSE,,,,,
ISBN,COD BARRAS,DESCRIÇÃO,AUTOR,PREÇO 2021,PREÇO USP
9788511010107,9788511010107,O QUE E TEATRO,FERNANDO PEIXOTO,"39,90","19,95"
9788511011494,9788511011494,O QUE E TOXICOMANIA,JANDIRA MASUR,"39,90","19,95"
9788511011715,9788511011715,O QUE E TRABALHO,SUZANA GUERRA ALBORNOZ,"39,90","19,95"
9788511001709,9788511001709,O QUE E TRABALHO INFANTIL,JANE ARAUJO,"39,90","19,95"
9788511010404,9788511010404,O QUE E TROTSKISMO,JOSE ROBERTO CAMPOS,"39,90","19,95"
9788511012460,9788511012460,O QUE E URBANISMO,A.J.GONCALVES JR / OUTROS,"39,90","19,95"
9788511010855,9788511010855,O QUE E VIOLENCIA,NILO ODALIA,"39,90","19,95"
9788511000634,9788511000634,O QUE E VIOLENCIA CONTRA A MULHER,MARIA A. ALMEIDA TELES / MONICA DE MELO,"39,90","19,95"
9788511000078,9788511000078,O QUE SAO ASSENTAMENTOS RURAIS,SONIA M. BERGAMASCO / LUIS A.C. NORDER,"39,90","19,95"
9788511010497,9788511010497,O QUE SAO DIREITOS DA PESSOA,DALMO DE ABREU DALLARI,"39,90","19,95"
9788511012293,9788511012293,O QUE SAO DIREITOS HUMANOS,JOAO RICARDO W. DORNELLES,"39,90","19,95"
9788511001365,9788511001365,O QUE SAO HIEROGLIFOS - 2. ED,MARGARET MARCHIORI BAKOS,"39,90","19,95"
9788511010299,9788511010299,O QUE SAO INTELECTUAIS,HORACIO LUIZ GONZALES,"39,90","19,95"
9788511001310,9788511001310,O QUE SAO RELACOES INTERNACIONAIS 2. ED,GILBERTO MARCOS ANTONIO RODRIGUES,"39,90","19,95"
9788511300055,9788511300055,O SITIO DO PICAPAU AMARELO - Coleção ROCAMBOLE,MONTEIRO LOBATO,"30,00","15,00"
9788511156287,9788511156287,OBRAS ESCOLHIDAS I - MAGIA E TECNICA ARTE E POLITI,WALTER BENJAMIN,"95,40","47,70"
9788511350111,9788511350111,OBRAS ESCOLHIDAS II - RUA DE MAO UNICA,WALTER BENJAMIN,"95,60","47,80"
9788511120493,9788511120493,OBRAS ESCOLHIDAS III - UM LIRICO NO AUGE DO CAPITA,WALTER BENJAMIN,"81,00","40,50"
9788511000436,9788511000436,ORGASMO FEMININO,MARIA NADEGE DE SOUZA,"40,00","20,00"
9788511300123,9788511300123,OS ESPIÕES DA EMÍLIA - Coleção ROCAMBOLE,MONTEIRO LOBATO,"30,00","15,00"
9788511020090,9788511020090,PARIS 1968-AS BARRICADAS DO DESEJO,OLGARIA CHAIN FERES MATTOS,"39,90","19,95"
9788511001334,9788511001334,PATRIMONIO CULTURAL: CONSCIENCIA E PRESERVACAO,SANDRA DE CASSIA ARAUJO PELEGRINI,"48,00","24,00"
9788511350098,9788511350098,PEDOFILIA: IDENTIFICAR E PREVENIR,LUCIA CAVALCANTI DE ALBUQUERQUE WILLIA,"S41,00","20,50"
9788511300031,9788511300031,PEDRINHO E O SACI - Coleção ROCAMBOLE,MONTEIRO LOBATO,"30,00","15,00"
9788511001037,9788511001037,POLITICA E CULTURA NO IMPERIO BRASILEIRO,SUELY ROBLES REIS QUEIROZ,"39,90","19,95"
9788511150230,9788511150230,PSICOLOGIA SOCIAL - O HOMEM EM MOVIMENTO,SILVIA TATIANA MAURER LANE,"80,90","40,45"
9788511000696,9788511000696,RAPOTI: AVENTURA E DESCOBERTA,CHRISTIANE WAGNER,"64,00","32,00"
EDITORA BRASILIENSE,,,,,
ISBN,COD BARRAS,DESCRIÇÃO,AUTOR,PREÇO 2021,PREÇO USP
9788511000689,9788511000689,RAPOTI: IMAGINAR PARA CONHECER,CHRISTIANE WAGNER,"64,00","32,00"
9788511001129,9788511001129,RELAMPAGOS - 2. EDICAO,OSMAR PINTO JUNIOR,"45,00","22,50"
9788511020427,9788511020427,REVOLUCAO DE 1930 A DOMINACAO OCULTA,ITALO TRONCA,"39,90","19,95"
9788511030525,9788511030525,SANTOS DUMONT - ARES NUNCA DANTES NAVEGADOS,ORLANDO SALLES SENNA,"39,90","19,95"
9788511001174,9788511001174,SERGIO AROUCA - UM CARA SEDUTOR,MARILIA BERNARDES MARQUES,"39,90","19,95"
9788511001358,9788511001358,TE ESPERO O TEMPO QUE FOR,SAMIR THOMAZ,"49,90","24,95"
9788511001464,9788511001464,TEORIA DA HISTORIA,PEDRO PAULO A. FUNARI,"39,90","19,95"
9788511001594,9788511001594,TRAJETOS E MEMORIAS,RENATO ORTIZ,"70,80","35,40"
