TÍTULO,AUTOR,,PREÇO DE CAPA,PREÇO COM,
"",,GÊNERO,,DESCONTO,
A CANÇÃO DO LIMÃO,"Vidal Gomes, Brod",MÚSICA,"54,90",,
"",Junior & Sampaio de,,,,
"",Medeiros,,,,
"",,,,,"27,45"
"SUBIR PELO INFERNO, DESCER PELO CÉU",Marcelo Ariel,CRÔNICAS,"39,70","19,85"
SUJEITOS DE VERDADE,"Luiz Paulo LeitãoMartins","PSICANÁLISE/ENSAIO","89,70","44,85"
Talvez Fôssemos Outras,Renata Ferri,,,
TANTO MAR ENTRE NÓS,"org. BaltazarGonçalves",POESIA,"50,00",25
Tarso de Melo,"Henrique DuarteNeto",ENSAIOS,"39,70","19,85"
TERRAS NACIONAIS E TERRAS ESTRANGEIRAS,"Tiago BasílioDonoso",CONTOS,"39,70","19,85"
Todos Os Nomes Que Talvez Tivéssemos,"Guilherme GontijoFlores",POESIA,"69,90","34,95"
Toinho Pescador – Um Poeta de Penedo,"Maria de FátimaPereira de Sá,Antônio Gomes dosSantos",BIOGRAFIA,"49,90","24,95"
TONS DO SENTIR,"Silmar de SouzaJunior",POESIA,"39,70","19,85"
Tornaviagem,Ronald Augusto,POESIA,"44,90","22,45"
UM SILÊNCIO ONDULADO,Guilherme Cornelsen,POESIA,"39,90","19,95"
VERA-CIDADE FERO-CIDADE FUGA-CIDADE,"Orgs João Simino,Clarissa Comin eBruno Everton",POESIA,"39,90","19,95"
VERSOS MAGROS,Fabio Santiago,POESIA,"39,70","19,85"
XEQUE-MATE E OUTRAS HISTÓRIAS,"Anne Van DenBedum",CONTOS,"39,70","19,85"
Milênios de Solidão – Cristian Abreu de Quevedo,"Cristian Abreu deQuevedo",CONTOS,"59,90","29,95"
A Colheita dos Grãos,Filippi Fernandes,CONTOS,"39,90","19,95"
André,Haroldo Freitag,CONTOS,"54,90","27,45"
CANTO PARA MNEMOSYNE,Clara Bordinião,POESIA,"39,70","19,85"
Cinquenta,Julio Urrutiaga,POESIA,"39,90","19,95"
Escrevendo Estações – Giorgia Martins,Giorgia Martins,CONTOS,"39,90","19,95"
"KIM, O CORPO SECO",Pedro Hos,CONTOS,"44,70","22,35"
MARIA,Adenildo Lima,ROMANCE,"39,70","19,85"
O Incluso,Paulo Fabião,,,,,,
O Que Há Por Trás da Porta,"Layla Gabriel deOliveira",POESIA,"39,90","19,95",,,
"Os Primeiros Acordes da Canção Fatal – Alfredo Rubinato Rodriguesde Sousa, Gabriel Rodriguez","Alfredo RubinatoRodrigues de Sousa,Gabriel Rodriguez",POESIA,"54,90","27,45",,,
POEMAS PARA O AMANHÃ,Álvaro Júlio,POESIA,"34,90","17,45",,,
POR QUEM OS IPÊS SOFREM,Denise Mazocco,CONTOS,"39,70","19,85",,,
Século das Luzes – João Pacífico,João Pacífico,POESIA,"39,90","19,95",,,
Vingança,Isaac Castro,CONTOS,"59,90","29,95",,,
Uma Alegria Difícil,Natasha Tinet,POESIA,"39,70","19,85",,,
