ISBN,Título,Autor,Valor Capa,Valor
"",,,,com desconto
9788584801299,ITINERARIOS,"FERREIRA, THASSIO","R$      20,00","R$         10,00"
9788565888196,JAGUARETE: O ENCONTRO,MAE,"R$    100,00","R$         50,00"
9788573353013,JOAO DA SILVA FEIJO,"PEREIRA, MAGNUS ROBERTO DE MEL","R$    150,00","R$         75,00"
9788573352504,JORN RUSEN E O ENSINO DA HISTORIA,"RUSEN, JORN","R$      45,00","R$         22,50"
9788565888257,JORNALISMO CULTURAL E CRITICA,"LIMA, MARCELO","R$      40,00","R$         20,00"
9788573352269,"JOVENS DE CURITIBA, OS",ANA LUISA FAYET,"R$      37,00","R$         18,50"
8573351047,JOVENS SEM-TERRA IDENTIDADES EM MOVIMENTO,TERESA MARIA CASTELO BRANCO,"R$      32,00","R$         16,00"
9788584800438,"JOVENS, CONSUMO E CONVERGENCIA MIDIATICA","RIBEIRO, REGIANE","R$      30,00","R$         15,00"
9788584801527,KIT COMPOSICOES ORIGINAIS PARA A ORQUESTRA FILARMONICA DA UNIVERSIDADE FE,"ECRAOLW DLO,H PAARRAYNA","R$    160,00","R$         80,00"
9788584801732,"LANCO, O TERCO E OS QUINHOES, O: RECIPROCIDADE E TROCA NA PESCA COLETIVA DA","NTAISNCHIAM ENNAT IOLH, EAV DAON DMREOL  CARDOSO DO","R$      55,00","R$         27,50"
9788565888165,"LAR EM TERRA ESTRANHA, UM","MARTINS, ANA PAULA VOSNE","R$      30,00","R$         15,00"
9788584801268,LEGADO DEMOCRÁTICO E APOIO À DEMOCRACIA NA AMERICA LATINA: EVIDÊNCIAS E ME,"CAANSISAMLEOCSC EHXI,P GLAICBARTIEIVLO ASVILA","R$      40,00","R$         20,00"
9788565888349,LEITURAS CONTEMPORANEAS DA MODERNIDADE,"NEIRA, HERNÁN","R$      25,00","R$         12,50"
9786587448046,"LENTES, PINCEIS E PAGINAS: DISCURSO DE MULHERES","ADELMAN, MIRIAM (ORG)","R$      50,00","R$         25,00"
