ISBN13,GTIN,"Status dedisponibilidade",Autor,Outros c,Tníttruiblouidores,"Altura (cm)","Largura (cm)","Profundidade (cm)",Peso,Formato,Preço R$,Classificação Thema
9788572327923,9788572327923,Disponível,"Doyle, Arthur Conan",(Traduto,")A Lsi naavretnht,u Cras edme iSroherlock Holmes",18,"11,5","1,5",220,Livro brochura (paperbac,") R$ 28,90",FF - Literatura policial
9788572328906,9788572328906,Disponível,"Twain, Mark",(Traduto,")A Pso arvtoe,n Atulrdaas de Tom Sawyer",18,"11,5",1,170,Livro brochura (paperbac,") R$ 28,90",FB - Ficção: geral & literária
9788544001912,9788544001912,Disponível,"Baudelaire, Charles",Francês,"aAras nfjleoirreas, Mdoá mrioal",23,16,"2,2",290,Livro capa dura (hardcov,"r) R$ 69,90",DC - Poesia
9788572328173,9788572328173,Disponível,"Baudelaire, Charles",(Traduto,")A Lsa frlaonrjeesi rdao,  Mmarlio",18,"11,5","1,2",200,Livro brochura (paperbac,") R$ 28,90",DC - Poesia
9788572328425,9788572328425,Disponível,"Baudelaire, Charles",(Traduto,")A Lsa frlaonrjeesi rdao,  Mmarlio",21,14,"1,3",320,Livro brochura (paperbac,") R$ 59,90",DC - Poesia
9788544001134,9788544001134,Disponível,"Espanca, Florbela",,As máscaras do destino,18,"11,5","0,5",100,Livro brochura (paperbac,") R$ 28,90",FYB - Contos
9788572327909,9788572327909,Disponível,"Haggard, Henry Rider",(Traduto,")A Qs umeirnóass,  dEeç aS adleomão",18,"11,5","0,7",150,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788572329958,9788572329958,Disponível,"Abreu, Casimiro de",,As Primaveras,18,"11,5","1,1",180,Livro brochura (paperbac,") R$ 28,90",DC - Poesia
9788572327442,9788572327442,Disponível,"Dinis, Júlio",,As pupilas do Senhor Reitor,18,"11,5","1,5",260,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544000724,9788544000724,Disponível,"Polo, Marco",(Traduto,")A Fse vrrieaigrean, sRoberto Leal",18,"11,5",1,150,Livro brochura (paperbac,") R$ 28,90",WT - Viagens & férias
9788572329637,9788572329637,Disponível,"Swift, Jonathan",(Ilustrad,"rA) sM vaigagneon, sS déreg Giou; l(lTivreardutor) Martins",Lu2i3s F,rnan1d6o,2,460,Livro brochura (paperbac,") R$ 59,90",
9788572327947,9788572327947,Disponível,"Macedo, Joaquim Manuel d",,As vítimas-algozes,18,"11,5","1,4",230,Livro brochura (paperbac,") R$ 28,90",FR - Literatura romântica
9788544000021,9788544000021,Disponível,"Nietzsche, Friedrich Wilhel",(Traduto,)A Assninma fDauloaur tZe;a (rTatruasdturator) Carlos Du,rte21,14,"2,7",470,Livro brochura (paperbac,") R$ 59,90",QD - Filosofia
9788572328562,9788572328562,Disponível,"Nietzsche, Friedrich",(Traduto,)A Assninma fDauloaur tZe;a (rTatruasdturator) Carlos Du,rte18,"11,5","1,5",210,Livro brochura (paperbac,") R$ 28,90",QD - Filosofia
9788544002421,9788544002421,Disponível,"Dvapayana Vyasa, Krishna",,Bhagavad Gita,23,16,3,640,Livro capa dura (hardcov,"r) R$ 69,90",Q - Filosofia & Religião
9788572321709,9788572321709,Disponível,Krishna,(Traduto,")B Rhoahgdaveand,  HGuitbaerto",18,"11,5",1,150,Livro brochura (paperbac,") R$ 28,90",QRD - Hinduísmo
