Título,Autor,Preço de capa,Preço com desconto
"FLAUTISTA MISTERIOSO E OS RATOS DE HAMELIN,O","Tavares, Braulio","R$37,00","R$18,50"
FLORES DAS FLORES DO MAL DE BAUDELAIRE,"Baudelaire, Charles","R$54,00","R$27,00"
"FOCA BRANCA, A*","Kipling, Rudyard","R$36,00","R$18,00"
"FORMA E O SENTIMENTO DO MUNDO, A","Suzuki, Márcio","R$84,00","R$42,00"
FORMACAO E DESCONSTRUCAO,"Arantes, Paulo Eduardo","R$65,00","R$32,50"
FRAGMENTOS COMPLETOS DE SAFO,Safo,"R$98,00","R$49,00"
FRANCESES NO BRASIL: CARTAS E RELATOS 1817-1828,"França, Jean Marcel Carvalho","R$51,00","R$25,50"
"FRAUDE E OUTRAS HISTORIAS, A","Leskov, Nikolai","R$54,00","R$27,00"
"FRONDA DOS MAZOMBOS, A","Mello, Evaldo Cabral de","R$86,00","R$43,00"
FUNCAO E DESENHO NA BIOLOGIA CONTEMPORANEA,"Caponi, Gustavo","R$45,00","R$22,50"
"GAIOLA, A","Revuektas, José","R$42,00","R$21,00"
GALAXIAS,"Campos, Haroldo de","R$76,00","R$38,00"
GARIMPO,"Bracher, Beatriz","R$42,00","R$21,00"
"GATA, A","Richter, Jutta","R$46,00","R$23,00"
"GENEROS DO DISCURSO, OS","Bakhtin, Mikhail","R$51,00","R$25,50"
GENTE POBRE,"Dostoiévski, Fiódor","R$52,00","R$26,00"
GENTE RICA: CENAS DA VIDA PAULISTANA,"Agudo, João","R$54,00","R$27,00"
GEORGES CUVIER: DO EST. DOS FOS. A PALEONTOLOGIA,"Faria, Felipe","R$58,00","R$29,00"
"GERACAO DOS CORPOS ORGANIZADOS EM MAUPERTUIS, A","Ramos, Maurício de Carvalho","R$72,00","R$36,00"
GLAXO,"Ronsino, Hernán","R$43,00","R$21,50"
GOLPE DE AR,"Corsaletti, Fabrício","R$39,00","R$19,50"
GRANDE OTELO,"Cabral, Sérgio","R$69,00","R$34,50"
GUERRA CONTRA PALMARES: O MANUSCRITO DE 1678,"Lara, Silvia Hunodl e Fachin, Phablo Roberto Marchis (org.)","R$61,00","R$30,50"
HERACLES,Eurípides,"R$52,00","R$26,00"
HERBERTO,"Hawthorne, Lara","R$42,00","R$21,00"
HIPOLITO,Eurípides,"R$54,00","R$27,00"
"HISPANIDADE EM SAO PAULO, A","Amaral, Aracy A.","R$100,00","R$50,00"
"HISTORIA DA MUSICA POPULAR BRASILEIRA, UMA","Severiano, Jairo","R$92,00","R$46,00"
HISTORIA DO BRASIL: UMA INTERPRETACAO,"Mota, Carlos Guilherme e Lopez, Adriana","R$129,00","R$64,50"
"HISTORIA DO SENHOR SOMMER, A","Süskind, Patrick","R$58,00","R$29,00"
"HISTORIA DOS OSSOS, A","Martins, Alberto","R$39,00","R$19,50"
HISTORIA E DESCRICAO DA FEBRE AMARELA EPIDEMICA..,"Rego, José Pereira","R$68,00","R$34,00"
HISTORIA SOCIAL DA MUSICA POPULAR BRASILEIRA,"Tinhorão, José Ramos","R$68,00","R$34,00"
HISTORIAS APOCRIFAS,"Capek, Karel","R$51,00","R$25,50"
HISTORIAS DA PRE-HISTORIA,"Moravia, Alberto","R$43,00","R$21,50"
HISTORIAS DO SR. KEUNER,"Brecht, Bertolt","R$47,00","R$23,50"
HISTORIAS PARA BRINCAR,"Rodari, Gianni","R$43,00","R$21,50"
"HOMEM QUE PLANTAVA ARVORES, O","Giono, Jean","R$54,00","R$27,00"
HOMENS INTERESSANTES E OUTRAS HISTORIAS,"Leskov, Nikolai","R$68,00","R$34,00"
HORAS PERPLEXAS,"Damazio, Reynaldo","R$37,00","R$18,50"
HOSANA NA SARJETA,"Mirisola, Marcelo","R$42,00","R$21,00"
HOTEL NOVO MUNDO,"Leite, Ivana Arruda","R$43,00","R$21,50"
HUMILHADOS E OFENDIDOS,"Dostoiévski, Fiódor","R$83,00","R$41,50"
"IDEIA E O FIGURADO, A","Souza, Gilda de Mello e","R$49,00","R$24,50"
IDEOLOGIA DA CULTURA BRASILEIRA (1933-1974),"Mota, Carlos Guilherme","R$84,00","R$42,00"
"IDIOTA, O","Dostoiévski, Fiódor","R$108,00","R$54,00"
ILIADA,Homero,"R$129,00","R$64,50"
IMAGEM-MAQUINA,"Parente, André (org.)","R$65,00","R$32,50"
IMAGENS APESAR DE TUDO,"Didi-Huberman, Georges","R$61,00","R$30,50"
"INCONSCIENTE ESTETICO, O","Rancière, Jacques","R$39,00","R$19,50"
"INDIVIDUACAO A LUZ DAS NOCOES DE F. E DE INF., A","Simondon, Gilbert","R$92,00","R$46,00"
INEZITA BARROSO: A HISTORIA DE UMA BRASILEIRA,"Pereira, Arley","R$58,00","R$29,00"
INTERNACIONALIZACAO DO DIREITO PENAL,"Machado, Maíra Rocha","R$64,00","R$32,00"
INVEJA (NARRATIVAS DA REVOLUÇÃO),"Oliécha, Iuri","R$52,00","R$26,00"
"INVENCAO DO MUNDO PELO DEUS-CURUMIM, A","Tavares, Braulio","R$43,00","R$21,50"
"IRMAOS KARAMAZOV, OS (2 VOLS.)","Dostoiévski, Fiódor","R$129,00","R$64,50"
ITINERARIO DE UMA FALSA VANGUARDA,"Prado, Antonio Arnoni","R$59,00","R$29,50"
JAMAIS FOMOS MODERNOS,"Latour, Bruno","R$52,00","R$26,00"
JAMES E O PESSEGO GIGANTE,"Dahl, Roald","R$43,00","R$21,50"
"JARDIM SECRETO, O","Burnett, Frances Hodgson","R$43,00","R$21,50"
"JOGADOR, UM","Dostoiévski, Fiódor","R$57,00","R$28,50"
JOQUEI,"Campilho, Matilde","R$47,00","R$23,50"
"JOVENS E A LEITURA, OS","Petit, Michèle","R$52,00","R$26,00"
JOVITA ALVES FEITOSA,"Carvalho, José Murilo de","R$44,00","R$22,00"
KHADJI-MURAT,"Tolstói, Lev","R$61,00","R$30,50"
LADY MACBETH DO DISTRITO DE MTZENSK,"Leskov, Nikolai","R$42,00","R$21,00"
LAZARILHO DE TORMES,Anônimo,"R$54,00","R$27,00"
LEAO DE CHACARA,"Antonio, João","R$42,00","R$21,00"
LEITURAS: DO ESPACO INTIMO AO ESPACO PUBLICO,"Petit, Michèle","R$49,00","R$24,50"
LEMBRAR ESCREVER ESQUECER,"Gagnebin, Jeanne Marie","R$52,00","R$26,00"
LER O MUNDO - EXPERIENCIAS DE TRANSMISSAO CULTURAL,"Petit, Michèle","R$54,00","R$27,00"
LIMA BARRETO: UMA AUTOBIOGRAFIA LITERARIA,"Prado, Antonio Arnoni","R$49,00","R$24,50"
LIMERIQUES DAS CAUSAS E EFEITOS*,"Belinky, Tatiana","R$39,00","R$19,50"
LIMERIQUES ESTAPAFURDIOS,"Belinky, Tatiana","R$39,00","R$19,50"
"LIMIAR, AURA E REMEMORACAO","Gagnebin, Jeanne Marie","R$58,00","R$29,00"
LIVIA E O CEMITERIO AFRICANO,"Martins, Alberto","R$43,00","R$21,50"
"LIVRO DO TRAVESSEIRO, O","Shônagon, Sei","R$98,00","R$49,00"
"LOCAL DA DIFERENCA, O","Seligmann–Silva, Márcio","R$69,00","R$34,50"
"LOGICA DO MACACO, A","Flora, Anna","R$34,00","R$17,00"
LOJAS DE CANELA E OUTRAS NARRATIVAS,"Schulz, Bruno","R$54,00","R$27,00"
