"",,,,,$ C/ 50%
TÍTULO,,AUTOR,SELO,$ CAPA,
"",,,,,DESCONTO
"CONTATO, VÍNCULO, SEPARAÇÃO","HORTELANO, XAVIER SERRANO",SUMMUS,"42,80","21,40"
CONTROLE A DOR ANTES QUE ELA ASSUMA O CONTROLE,"CAUDILL, MARGARET A.",SUMMUS,"98,30","49,15"
CONVERSANDO SOBRE O LUTO,"GORETT, EDIRRAH; MAUTONI, MARIA APARECID",ÁGORA,"42,80","21,40"
CONVERSAS COM GERDA ALEXANDER,"HEMSY DE GAINZA, VIOLETA",SUMMUS,"62,80","31,40"
CONVERSAS CRIATIVAS E ABUSO SEXUAL,"MARRA, MARLENE MAGNABOSCO",ÁGORA,"46,40","23,20"
CONVIVER COM QUEM BEBE,"WILSON, MARY",SUMMUS,"48,20","24,10"
"COORDENACAO MOTORA, A",BEZIERS & PIRET,SUMMUS,"86,40","43,20"
CORAÇÃO: MANUAL DO PROPRIETÁRIO,"WAJNGARTEN, MAURÍCIO",MG EDITORES,"51,00","25,50"
"CORAGEM DE CRESCER, A","AZEVEDO, MARIA DE MELO",ÁGORA,"65,70","32,85"
CORAGEM DE SER,"PARANHOS, FÁBIO; MORIS, VERA",EDIÇÕES GLS,"51,00","25,50"
"CORPO DIZ SUA MENTE, O","KELEMAN, STANLEY",SUMMUS,"51,00","25,50"
CORPO E AYURVEDA,"MARINO, MARIA I.; DAMBRY, WALKYRIA G.",SUMMUS,"76,70","38,35"
"CORPO EM DEPRESSÃO, O","LOWEN, ALEXANDER",SUMMUS,"74,50","37,25"
"CORPO EM TERAPIA, O","LOWEN, ALEXANDER",SUMMUS,"107,80","53,90"
"CORPO NO LIMITE DA COMUNICAÇÃO, O","KIGNEL, RUBENS",SUMMUS,"51,00","25,50"
"CORPO NO TRABALHO DE PARTO, O","BIO, ELIANE",SUMMUS,"53,10","26,55"
"CORPO PILATES, O","SILLER, BROOKE",SUMMUS,"91,70","45,85"
"CORPO REFLETE O SEU DRAMA, O","FREIRE, CHRISTINA A.",ÁGORA,"48,20","24,10"
"CORPO REVELA, O",KURTZ/PRESTERA,SUMMUS,"59,70","29,85"
CORPO SOFRIDO E MAL-AMADO,"PENNA, LUCY",SUMMUS,"84,60","42,30"
"CORPO TRAÍDO, O - EDIÇÃO REVISTA","LOWEN, ALEXANDER",SUMMUS,"87,80","43,90"
"CORPO, ATIVIDADES CRIADORAS E LETRAMENTO","DANIELE, TEIXEIRA,MARINA, FAISSAL,FLÁVIA",SUMMUS,"42,80","21,40"
CORPORIFICANDO A EXPERIENCIA,"KELEMAN, STANLEY",SUMMUS,"63,80","31,90"
CORRENTES DA VIDA,"BOADELLA, DAVID",SUMMUS,"67,90","33,95"
"COTIDIANO NAS ENTRELINHAS, O","MAUTNER, ANNA VERONICA",ÁGORA,"48,20","24,10"
COURAÇA MUSCULAR DO CARÁTER (WILHELM REICH) - EDIÇÃO REVISTA,"GAIARSA, JOSÉ ANGELO",ÁGORA,"99,30","49,65"
CRENÇAS - CAMINHOS PARA A SAÚDE E O BEM-ESTAR,"DILTS, ROBERT",SUMMUS,"65,70","32,85"
CRIAÇÃO DE CURTA-METRAGEM EM VÍDEO DIGITAL,"MOLETTA, ALEX",SUMMUS,"58,40","29,20"
"CRIANÇA ATÉ 4 ANOS, A","SALEK, VÂNIA DE ALMEIDA",SUMMUS,"51,00","25,50"
"CRIANÇA E O MARKETING, A","SILVA, ANA M. D.; VASCONCELOS, LUCIENE R",SUMMUS,"42,80","21,40"
"CRIANÇA SURDA, A","GOLDFELD, MARCIA",PLEXUS,"62,80","31,40"
CRIANCAS VITIMAS DE ABUSO SEXUAL,"GABEL, MARCELINE (ORG.)",SUMMUS,"84,60","42,30"
CRIANDO ADOLESCENTES EM TEMPOS DIFÍCEIS,"MONTEIRO, ELIZABETH",SUMMUS,"62,80","31,40"
CRIANDO FILHOS EM TEMPOS DIFÍCEIS,"MONTEIRO, ELIZABETH",SUMMUS,"62,80","31,40"
CRIATIVIDADE EM PROPAGANDA,"BARRETO, ROBERTO MENNA",SUMMUS,"95,50","47,75"
CRIATIVIDADE NO TRABALHO E NA VIDA - ED.REVISTA,"BARRETO, ROBERTO MENNA",SUMMUS,"120,90","60,45"
CRÔNICAS E CONVERSAS PSICODRAMÁTICAS,"ROMAÑA, MARIA ALICIA",ÁGORA,"42,80","21,40"
CRUZ E SOUSA - RETRATOS DO BRASIL NEGRO,"PRANDINI, PAOLA DINIZ",SELO NEGRO,"31,90","15,95"
