Autor,Título,Data de lançamento,Preço R$,Desconto,Preço com desconto,Site
Spok,COLEÇÃO FÚRIA DOS MOBS,03/04/2018,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Pittar, Gill",Coleção Milly e Molly c/8 livros,20/09/2016,"R$ 39,90",50%,"R$ 19,95",www.troiaeditora.com.br
"Gibson, Rachel",Coleção Rachel Gibson (7 livros),05/04/2021,"R$ 169,90",50%,"R$ 84,95",www.troiaeditora.com.br
"Gibson, Rachel",Correndo para você,16/03/2017,"R$ 42,00",50%,"R$ 21,00",www.troiaeditora.com.br
"Arbex, Daniela",Cova 312,01/05/2015,"R$ 52,00",50%,"R$ 26,00",www.troiaeditora.com.br
"Fiódor, Dostoiévski",Crime e Castigo,05/04/2021,"R$ 48,00",50%,"R$ 24,00",www.troiaeditora.com.br
"Hornos, Ana Paula",Crise financeira na floresta,17/11/2015,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Sautchuk, Jaime",Cruls,04/02/2014,"R$ 52,00",50%,"R$ 26,00",www.troiaeditora.com.br
"Gibson, Rachel",Daisy está na cidade,27/03/2015,"R$ 39,90",50%,"R$ 19,95",www.troiaeditora.com.br
"Xuecun, Murong",Deixe‐me em Paz,31/03/2014,"R$ 26,00",50%,"R$ 13,00",www.troiaeditora.com.br
"Squarisi, Dad",Deuses do olimpo,05/09/2014,"R$ 56,00",50%,"R$ 28,00",www.troiaeditora.com.br
"Sicsú, João",Dez anos que abalaram o Brasil. E o futuro?,25/07/2013,"R$ 29,90",50%,"R$ 14,95",www.troiaeditora.com.br
"Drummond, Roberto",Dia de são nunca à tarde,14/04/2004,"R$ 48,00",50%,"R$ 24,00",www.troiaeditora.com.br
"Fátima, Branco Di",Dias de Tormenta,12/08/2019,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Assis, Machado",Dom Casmurro,01/04/2021,"R$ 19,90",50%,"R$ 9,95",www.troiaeditora.com.br
"Rezzutti, Paulo",Domitila,01/08/2017,"R$ 24,00",50%,"R$ 12,00",www.troiaeditora.com.br
"Alves, Maria Elisa",E por que não?,15/02/2012,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Iunovich, Patrícia",El Gran Capy,06/11/2017,"R$ 29,90",50%,"R$ 14,95",www.troiaeditora.com.br
"Dória, Palmério",Empoderadas!,10/11/2018,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Rosa, Mario",Entre a glória e a vergonha,22/06/2017,"R$ 45,00",50%,"R$ 22,50",www.troiaeditora.com.br
"Emediato, Luiz Fernando",Eu vi mamãe nascer,05/04/2021,"R$ 19,90",50%,"R$ 9,95",www.troiaeditora.com.br
"Fernando Emediato, Luiz",Eu Vi Mamãe Nascer,01/01/1996,"R$ 44,00",50%,"R$ 22,00",www.troiaeditora.com.br
"Carew, Opal",Fantasias Gêmeas,01/04/2013,"R$ 39,90",50%,"R$ 19,95",www.troiaeditora.com.br
Hwang Sun‐mi,Flora Hen,29/10/2014,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Spyer, Marcos Wilson","Fogo, Cerrado!",11/12/2020,"R$ 52,00",50%,"R$ 26,00",www.troiaeditora.com.br
"Valente, Gianni",Francisco,10/06/2013,"R$ 29,90",50%,"R$ 14,95",www.troiaeditora.com.br
"Adams, Jad",Gandhi,19/09/2012,"R$ 26,00",50%,"R$ 13,00",www.troiaeditora.com.br
"Fernandes, Fernando Augusto",Geopolítica da intervenção,29/09/2020,"R$ 66,00",50%,"R$ 33,00",www.troiaeditora.com.br
"Dória, Palmério; Severiano, Mylton",Golpe de Estado,15/06/2015,"R$ 64,00",50%,"R$ 32,00",www.troiaeditora.com.br
"Safranski, Rüdiger",Heidegger,10/06/2019,"R$ 39,00",50%,"R$ 19,50",www.troiaeditora.com.br
"Pac; Mike; Magnani, Gustavo",Herobrine: A lenda,14/04/2016,"R$ 55,00",50%,"R$ 27,50",www.troiaeditora.com.br
"Creeper, Peter",Herobrine: O retorno,02/10/2017,"R$ 36,00",50%,"R$ 18,00",www.troiaeditora.com.br
"Drummond, Roberto",Hilda Furacão,01/04/2008,"R$ 66,00",50%,"R$ 33,00",www.troiaeditora.com.br
"Miranda, Nilmário",Histórias que vivi na História,23/07/2018,"R$ 52,00",50%,"R$ 26,00",www.troiaeditora.com.br
"Jorge, Fernando",Hitler,13/02/2012,"R$ 42,00",50%,"R$ 21,00",www.troiaeditora.com.br
"Rosa, Mario","HOMEM. CUIDADO, FRÁGIL",20/05/2019,"R$ 38,00",50%,"R$ 19,00",www.troiaeditora.com.br
"Dória, Palmério",Honoráveis bandidos,01/08/2009,"R$ 52,00",50%,"R$ 26,00",www.troiaeditora.com.br
"Ramonet, Ignacio",Hugo Chávez,23/07/2018,"R$ 52,00",50%,"R$ 26,00",www.troiaeditora.com.br
