Título,Autores,Preço,Preço com 50%
Diálogos sobre a clínica psicanalítica,"Minerbo, Marion (Autor)","R$53,00","R$26,50"
Dicionário de psicanálise de casal e família,"Levisky, Ruth Blay (Organizador), Dias,","R$130,00","R$65,00"
Dicionário visual de bolso - 3 em 1: Espanhol,Dorling Kindersley Book (Instituição),"R$66,00","R$33,00"
Dicionário visual de bolso - 3 em 1: Italiano,Dorling Kindersley Book (Instituição),"R$66,00","R$33,00"
Difusão mássica,"Cremasco, Marco Aurélio (Autor)","R$85,00","R$42,50"
Dimensionamento de fundações profundas,"Alonso, Urbano Rodriguez (Autor)","R$97,00","R$48,50"
Do agir organizacional,"Maggi, Bruno (Autor)","R$99,00","R$49,50"
Do desenho industrial ao design no Brasil,"Cara, Milene (Autor), Braga, Marcos","R$33,00","R$16,50"
Do material ao digital,"Bonsiepe, Gui (Autor), Oswald, David","R$109,00","R$54,50"
Do pensamento clínico ao paradigma contemporâneo,"Green, André (Autor), Urribarri,","R$50,00","R$25,00"
Do povo do nevoeiro,"Cesar, Fátima Flórido (Autor)","R$90,00","R$45,00"
Domesticando pensamentos selvagens,"Bion, Wilfred R. (Autor)","R$29,00","R$14,50"
"Dor psíquica, dor corporal","Béjar, Victoria Regina (Organizador)","R$100,00","R$50,00"
Ecologia industrial,"Giannetti, Biagio F. (Autor), Almeida,","R$52,00","R$26,00"
Econometria financeira,"Morettin, Pedro A. (Autor)","R$137,00","R$68,50"
"Economia circular, sistemas locais de produção e ecoparques","Amato Neto, João (Autor), Barros,","R$60,00","R$30,00"
Economia marítima,"Stopford, Martin (Autor)","R$220,00","R$110,00"
Ecos do silêncio,"França, Cassandra Pereira","R$60,00","R$30,00"
Ecossistêmica,"Branco, Samuel Murgel (Autor)","R$91,00","R$45,50"
Educação ambiental para o século XXI,"Pinotti, Rafael (Autor)","R$90,00","R$45,00"
Educação física: coleção a reflexão e a prática no ensino,"Neira, Marcos Garcia (Autor), Cano,","R$58,00","R$29,00"
Educação física cultural: coleção a reflexão e a prática no ensino,"Neira, Marcos Garcia (Autor), Cano,","R$54,00","R$27,00"
Elementos de amostragem,"Bolfarine, Heleno (Autor), Bussab,","R$102,00","R$51,00"
Elementos de engenharia hidráulica e sanitária,"Garcez, Lucas Nogueira (Autor)","R$128,00","R$64,00"
Elementos de máquinas - vol 1,"Niemann, Gustav (Autor)","R$104,00","R$52,00"
Elementos de máquinas - vol 2,"Niemann, Gustav (Autor)","R$104,00","R$52,00"
Elementos de máquinas - vol 3,"Niemann, Gustav (Autor)","R$104,00","R$52,00"
Elementos de mecânica dos fluidos,"Cattani, Mauro S. D. (Autor)","R$57,00","R$28,50"
Elementos para projetos em perfis leves de aço,"Moliterno, Antonio (Autor), Brasil,","R$44,00","R$22,00"
Elementos químicos e seus compostos,"Toma, Henrique E. (Autor)","R$48,00","R$24,00"
Eletromagnetismo,"Ramos, Airton (Autor)","R$98,00","R$49,00"
Eletromecânica - vol 1,"Falcone, Aurio Gilberto (Autor)","R$99,00","R$49,50"
Eletromecânica - vol 2,"Falcone, Aurio Gilberto (Autor)","R$105,00","R$52,50"
Eletrônica digital,"Haupt, Alexandre (Autor), Dachi,","R$61,00","R$30,50"
Embalagens flexíveis,"Anyadike, Nnamdi (Autor)","R$59,00","R$29,50"
Energia e desenvolvimento sustentável,"Goldemberg, José (Autor),","R$33,00","R$16,50"
Energia e fluidos - Vol 1,"Coelho, João Carlos Martins (Autor)","R$105,00","R$52,50"
