"Projeto Respiração Doctors, Marcio (Autor) R$  120,00 R$  6 0,00"
"Proximidade Munck, Marlies De (Autor), Gielen, PasRca$l  ( A 3u0t,o0r0) R$  1 5,00"
"Pulverizados Badea, Alexandra (Autor) R$36,00 R$  1 8,00"
"Punhos Peyrade, Pauline (Autor) R$36,00 R$  1 8,00"
"Queimaduras Colas, Hubert (Autor) R$36,00 R$  1 8,00"
"Racionais MC’s Rocha, Arthur Dantas (Autor) R$46,00 R$  2 3,00"
"Rene Silva - Ativismo digital e ação comunitária Faustini, Marcus (Organizador) R$32,00 R$  1 6,00"
"Resistência da matéria Andrade, Rodrigo (Autor) R$  150,00 R$  7 5,00"
"Rodrigo Matheus Matheus, Rodrigo (Autor) R$  110,00 R$  5 5,00"
"Ronaldo Fraga Fraga, Ronaldo (Autor), Mesquita, CrisRtia$n  e1 3(A8,u0t0or), RP$a s c6 o9la,0to0, Costanza (Autor), Guerreiro, Regina (Autor)"
"Rose Ripoll, Cecilia (Autor) R$36,00 R$  1 8,00"
"Saia Torquato, Marcéli (Autor) R$36,00 R$  1 8,00"
"Silêncio Cage, John (Autor) R$76,00 R$  3 8,00"
"Silêncio.doc Varzea, Marcelo (Autor) R$36,00 R$  1 8,00"
"Sinfonia sonho Liberano, Diogo (Autor) R$36,00 R$  1 8,00"
"Sísifo Duvivier, Gregorio (Autor), Calderoni, VRin$i c  iu 4s0 ,(0A0utorR) $  2 0,00"
"Só percebo que estou correndo quando vejo que esLtooup ecas,in Ldaone (Autor) R$36,00 R$  1 8,00"
"Solange Pessoa Bacon, Alex (Organizador) R$  130,00 R$  6 5,00"
"Songs in the Key of Life - Stevie Wonder Lundy, Zeth (Autor) R$46,00 R$  2 3,00"
"Sonia Gomes Sardemberg, Ricardo (Autor), NazarethR, $P a 1u1l0o, 0(A0utoRr)$,  F 5 ar5k,a0s0, Solange (Autor)"
"Suelen Nara Ian Arraes, Luisa (Autor) R$36,00 R$  1 8,00"
"Taísa Machado, o afrofunk e a ciência do rebolado Faustini, Marcus (Organizador) R$32,00 R$  1 6,00"
"The Velvet Underground and Nico - Velvet UndergroHuanrdvard, Joe (Autor) R$46,00 R$  2 3,00"
"Todo domingo, com os artigos de Cacá Diegues Diegues, Cacá (Autor) R$56,00 R$  2 8,00"
"Tom na fazenda Bouchard, Michel Marc (Autor) R$36,00 R$  1 8,00"
"Trabalhos de amores quase perdidos Brício, Pedro (Autor) R$32,00 R$  1 6,00"
"Trancoso, João Farkas Farkas, João (Autor), Risério, Antonio (RA$u t o1r4)0, ,F0i0rmoR, W$ a 7 lt0e,r0 (0Autor)"
"Três poetas do samba-enredo: compositores que fizVearalemn çaa h, iRstaócrhiae dl (oA cuatornr)a, vBarluno, LeonaRrd$o  (  A5u4t,o0r0), GRa$sp  a2 r7a,n0i,0 Gustavo (Autor)"
"Tropicália ou Panis et circencis Duarte, Pedro (Autor) R$46,00 R$  2 3,00"
"Tutankáton + O terceiro sinal Frias Filho, Otavio (Autor) R$40,00 R$  2 0,00"
"Um dia como outro qualquer Neuenschwander, Rivane (Autor), FlooRd$,  R 1ic2h0a,0rd0 (ARut$o r )6 , 0H,e0r0kenhoff, Paulo (Autor), Raymond, Yasmil (Autor), Thomas, Rachael (Autor), Larsen, Lars Bang (Autor)"
"Um pedaço de tecido Santana, Lena (Autor) R$52,00 R$  2 6,00"
"Unknown Pleasures - Joy Division Ott, Chris (Autor) R$46,00 R$  2 3,00"
"Valeska Soares Hoffmann, Jens (Autor), Taxter, Kelly (ARu$t o 1r3) 8,00 R$  6 9,00"
"Wabi-sabi Koren, Leonard (Autor) R$52,00 R$  2 6,00"
"Yellow bastard Liberano, Diogo (Autor) R$40,00 R$  2 0,00"
